UID	LAST NAME	LAST NAME UD	FIRST NAME	FIRST NAME UD	ALIASES	ALIASES UD	ALTERNATIVE SPELLING	ALTERNATIVE SPELLING UD	CATEGORY	CATEGORY UD	TITLE	TITLE UD	SUB CATEGORY	SUB CATEGORY UD	POSITION	POSITION UD	AGE	AGE UD	DOB	DOB UD	PLACE OF BIRTH	PLAVE OF BIRTH UD	DECEASED	DECEASED UD	PASSPORTS	PASSPORTS UD	SSN	SSN UD	LOCATIONS	LOCATIONS UD	COUNTRIES	COUNTRIES UD	COMPANIES	COMPANIES UD	E/I	E/I UD	LINKED TO	LINKED TO UD	FURTHER INFORMATION	FURTHER INFORMATION UD	KEYWORDS	KEYWORDS UD	EXTERNAL SOURCES	EXTERNAL SOURCES UD	ENTERED	ENTERED UD	UPDATED	UPDATED UD	EDITOR	EDITOR UD	AGE DATE	AGE DATE UD
PCRT35	Bassetti Giogio				Bassetti Giogio				Individual				PEP		Cuc PCRT				DOB: 23/05/1972		South African										South African										Cuc PCRT											
PCRT36	Matityahu Sachs				Matityahu Sachs				Individual				PEP		Cuc PCRT				DOB: 02/12/1975		Espanola										Espanola										Cuc PCRT											
PCRT37	Fridman Bernard Israel				Fridman Bernard Israel				Individual				PEP		Cuc PCRT				DOB: 02/12/1975		Espanola										Espanola										Cuc PCRT											
PCRT38	Lourens Uys Wilhemlm				Lourens Uys Wilhemlm				Individual				PEP		Cuc PCRT				DOB: 10/10/1976		Belge										Belge										Cuc PCRT											
PCRT39	George Cambanis				George Cambanis				Individual				PEP		Cuc PCRT				DOB: 04/09/1971		South African										South African										Cuc PCRT											
PCRT40	Lai Andrew				Lai Andrew				Individual				PEP		Cuc PCRT				DOB: 16/05/1972		South African										South African										Cuc PCRT											
PCRT41	John Gavin Davidson				John Gavin Davidson				Individual				PEP		Cuc PCRT				DOB: 09/07/1978		Spanish										Spanish										Cuc PCRT											
PCRT42	Liuska Baggio Carlitos				Liuska Baggio Carlitos				Individual				PEP		Cuc PCRT				DOB: 10/10/1971		Mozambique										Mozambique										Cuc PCRT											
PCRT43	Massamba Lendebe Elvis				Massamba Lendebe Elvis				Individual				PEP		Cuc PCRT						Mozambique										Mozambique										Cuc PCRT											
PCRT44	Niaty Lokasso Djamba				Niaty Lokasso Djamba				Individual				PEP		Cuc PCRT						Congolaise										Congolaise										Cuc PCRT											
PCRT45	Kadima Charles Phillips				Kadima Charles Phillips				Individual				PEP		Cuc PCRT				DOB: 01/01/1970		Congolaise										Congolaise										Cuc PCRT											
PCRT46	Ezekoli Boniface Chinedu				Ezekoli Boniface Chinedu				Individual				PEP		Cuc PCRT				DOB: 12/08/1982		Nigerian										Nigerian										Cuc PCRT											
PCRT47	Odinamba Chief Alphonsus				Odinamba Chief Alphonsus				Individual				PEP		Cuc PCRT				DOB: 24/12/1954		Nigerian										Nigerian										Cuc PCRT											
PCRT48	Shabr Abdellah Shadi				Shabr Abdellah Shadi				Individual				PEP		Cuc PCRT																										Cuc PCRT											
PCRT49	Aliomar Lagha				Aliomar Lagha				Individual				PEP		Cuc PCRT						Libi										Libi										Cuc PCRT											
PCRT50	Rafael Harris Lopes				Rafael Harris Lopes				Individual				PEP		Cuc PCRT						Portugal										Portugal										Cuc PCRT											
PCRT51	Hussein Al-Shibli				Hussein Al-Shibli				Individual				PEP		Cuc PCRT																										Cuc PCRT											
PCRT52	Harasa Christina				Harasa Christina				Individual				PEP		Cuc PCRT						Portugal										Portugal										Cuc PCRT											
PCRT53	Alexander Sam Port Zormani				Alexander Sam Port Zormani				Individual				PEP		Cuc PCRT																										Cuc PCRT											
PCRT54	Abdul Raouf Mohamed Ali				Abdul Raouf Mohamed Ali				Individual				PEP		Cuc PCRT						Libi										Libi										Cuc PCRT											
PCRT55	Mohamed Al-masoudi Nuri Al-Harati/Fathi Al-Harari				Mohamed Al-masoudi Nuri Al-Harati/Fathi Al-Harari				Individual				PEP		Cuc PCRT																										Cuc PCRT											
PCRT56	Al-Sharif Madi Mohamed				Al-Sharif Madi Mohamed				Individual				PEP		Cuc PCRT						Libi										Libi										Cuc PCRT											
PCRT57	Taher Ben Hussein				Taher Ben Hussein				Individual				PEP		Cuc PCRT						Tunisia										Tunisia										Cuc PCRT											
PCRT58	Abdul Latif Ali Mohamed Chacouri				Abdul Latif Ali Mohamed Chacouri				Individual				PEP		Cuc PCRT						Libi										Libi										Cuc PCRT											
PCRT59	Soumah Morlaye				Soumah Morlaye				Individual				PEP		Cuc PCRT				DOB: 14/04/1982		Guinee										Guinee										Cuc PCRT											
PCRT60	Samuel Chilima Makoloni				Samuel Chilima Makoloni				Individual				PEP		Cuc PCRT				DOB: 28/11/1980		Zambia										Zambia										Cuc PCRT											
PCRT61	LE THANH TRAN				LE THANH TRAN				Individual				PEP		Cuc PCRT				DOB: 21/09/1993		Vietnam										Vietnam										Cuc PCRT											
PCRT62	Bui Si Dan				Bui Si Dan				Individual				PEP		Cuc PCRT				DOB: 1990										Anh Son, Tinh Gia, Thanh Hoa		Vietnam										Cuc PCRT											
PCRT63	Nguyen Van Phuong				Nguyen Van Phuong				Individual				PEP		Cuc PCRT				DOB: 1977										Anh Son, Tinh Gia, Thanh Hoa		Vietnam										Cuc PCRT											
PCRT64	Nguyen Thi Ngoc Tin				Nguyen Thi Ngoc Tin				Individual				PEP		Cuc PCRT				DOB: 1956										Quan 5, Tp. Ho Chi Minh		Vietnam										Cuc PCRT											
PCRT65	Doan Duy Quang				Doan Duy Quang				Individual				PEP		Cuc PCRT				DOB: 1984										Thanh Oai, Thanh Tri, Ha Noi		Vietnam										Cuc PCRT											
PCRT66	Dang Thu Ngan				Dang Thu Ngan				Individual				PEP		Cuc PCRT				DOB: 1978										Tran Hung Dao, Ha Long, Quang Ninh		Vietnam										Cuc PCRT											
PCRT67	Dang Thu Ngan				Dang Thu Ngan				Individual				PEP		Cuc PCRT				DOB: 1978										Tran Hung Dao, Ha Long, Quang Ninh		Vietnam										Cuc PCRT											
PCRT68	To Huu Duc				To Huu Duc				Individual				PEP		Cuc PCRT				DOB: 1973										Ca Mau		Vietnam										Cuc PCRT											
PCRT69	Ngo Thi Thuy				Ngo Thi Thuy				Individual				PEP		Cuc PCRT				DOB: 1979										Xuan Tien, Xuan Truong, Nam Dinh		Vietnam										Cuc PCRT											
PCRT70	Nguyen Thi Tinh				Nguyen Thi Tinh				Individual				PEP		Cuc PCRT				DOB: 1987										Vinh Lai, Lam Thao, Phu Tho		Vietnam										Cuc PCRT											
PCRT71	Mai Thi My Hanh				Mai Thi My Hanh				Individual				PEP		Cuc PCRT				DOB: 1977										Thach Ban, Long Bien, Ha Noi		Vietnam										Cuc PCRT											
PCRT72	Pham Van Tuan				Pham Van Tuan				Individual				PEP		Cuc PCRT				DOB: 1986										Anh Ninh, Tien Hai, Thai Binh		Vietnam										Cuc PCRT											
PCRT73	Nguyen Nhu Khai				Nguyen Nhu Khai				Individual				PEP		Cuc PCRT				DOB: 1981										Nhan Hoa, My Hao, Hung Yen		Vietnam										Cuc PCRT											
PCRT74	Nguyen Van Chung				Nguyen Van Chung				Individual				PEP		Cuc PCRT														Pham Ngu Lao, Hai Duong		Vietnam										Cuc PCRT											
PCRT75	Nguyen Thang Long				Nguyen Thang Long				Individual				PEP		Cuc PCRT				DOB: 1981										Nguyen Hoa, Phu Cu, Hung Yen		Vietnam										Cuc PCRT											
PCRT76	Hoang Thi Thu				Hoang Thi Thu				Individual				PEP		Cuc PCRT				DOB: 1946										Phan Thiet, Tuyen Quang		Vietnam										Cuc PCRT											
PCRT77	Le Thi Giang				Le Thi Giang				Individual				PEP		Cuc PCRT				DOB: 1976										Dong Ket, Khoai Chau, Hung Yen		Vietnam										Cuc PCRT											
PCRT78	Phan Thi Huong				Phan Thi Huong				Individual				PEP		Cuc PCRT				DOB: 1967										Van Mieu, Dong Da, Ha Noi		Vietnam										Cuc PCRT											
PCRT79	Do Thi Kim Mac				Do Thi Kim Mac				Individual				PEP		Cuc PCRT				DOB: 1958										Dong Kinh, Khoai Chau, Hung Yen		Vietnam										Cuc PCRT											
PCRT80	Hoang Duc Minh				Hoang Duc Minh				Individual				PEP		Cuc PCRT				DOB: 1974										Trung Hung, Yen My, Hung Yen		Vietnam										Cuc PCRT											
PCRT81	Hoang Van Minh				Hoang Van Minh				Individual				PEP		Cuc PCRT				DOB: 1974										Trung Hung, Yen My, Hung Yen		Vietnam										Cuc PCRT											
PCRT82	Thai Thi Dung				Thai Thi Dung				Individual				PEP		Cuc PCRT				DOB: 1982										Hung Thanh, Tuyen Quang		Vietnam										Cuc PCRT											
PCRT83	Nguyen Tung Bach				Nguyen Tung Bach				Individual				PEP		Cuc PCRT				DOB: 1970										Duong Quang, My Hao, Hung Yen		Vietnam										Cuc PCRT											
PCRT84	Pham Thi Hoan				Pham Thi Hoan				Individual				PEP		Cuc PCRT				DOB: 1971										Nghia Hiep, Yen My, Hung Yen		Vietnam										Cuc PCRT											
PCRT85	Nguyen Trong Thang				Nguyen Trong Thang				Individual				PEP		Cuc PCRT				DOB: 1950										Ha Le, Kim Dong, Hung Yen		Vietnam										Cuc PCRT											
PCRT86	Do Duc Thien				Do Duc Thien				Individual				PEP		Cuc PCRT				DOB: 1979										Sao Nam, Phu Cu, Hung Yen		Vietnam										Cuc PCRT											
PCRT87	Nguyen Thi Thuy				Nguyen Thi Thuy				Individual				PEP		Cuc PCRT				DOB: 1985										Nguyen Hoa, Phu Cu, Hung Yen		Vietnam										Cuc PCRT											
PCRT88	Do Dinh Tuyen				Do Dinh Tuyen				Individual				PEP		Cuc PCRT				DOB: 1964										Lien Khe, Khoai Chau, Hung Yen		Vietnam										Cuc PCRT											
PCRT89	Bui Tien Duc				Bui Tien Duc				Individual				PEP		Cuc PCRT				DOB: 1967										Ngoc Thach, Kim Dong, Hung Yen		Vietnam										Cuc PCRT											
PCRT90	Dao Ba Van				Dao Ba Van				Individual				PEP		Cuc PCRT				DOB: 1977										Dong Tien, Khoai Chau, Hung Yen		Vietnam										Cuc PCRT											
PCRT91	Dao Anh Van				Dao Anh Van				Individual				PEP		Cuc PCRT				DOB: 1977										Dong Tien, Khoai Chau, Hung Yen		Vietnam										Cuc PCRT											
PCRT92	Do Thi Vui				Do Thi Vui				Individual				PEP		Cuc PCRT				DOB: 1963										Dong Tien, Khoai Chau, Hung Yen		Vietnam										Cuc PCRT											
PCRT93	Nguyen Duy Kien				Nguyen Duy Kien				Individual				PEP		Cuc PCRT				DOB: 1975										Cat Linh, Dong Da, Ha Noi		Vietnam										Cuc PCRT											
PCRT94	Nguyen Van Nghiem				Nguyen Van Nghiem				Individual				PEP		Cuc PCRT				DOB: 1943										Phan Thiet, Tuyen Quang		Vietnam										Cuc PCRT											
PCRT95	Nguyen Van Truong				Nguyen Van Truong				Individual				PEP		Cuc PCRT				DOB: 1958										Thanh Xuan, Soc Son, Ha Noi		Vietnam										Cuc PCRT											
PCRT96	Phan Thi Huong				Phan Thi Huong				Individual				PEP		Cuc PCRT				DOB: 1973										O Cho Dua, Dong Da, Ha Noi		Vietnam										Cuc PCRT											
PCRT97	Dang Tran Duc				Dang Tran Duc				Individual				PEP		Cuc PCRT				DOB: 1981										Phu Dong, Gia Lam, Ha Noi		Vietnam										Cuc PCRT											
PCRT98	Khuat Van Hung				Khuat Van Hung				Individual				PEP		Cuc PCRT				DOB: 1989										Sen Chieu, Phuc Tho, Ha Noi		Vietnam										Cuc PCRT											
PCRT99	Vo Anh Khoa				Vo Anh Khoa				Individual				PEP		Cuc PCRT				DOB: 1991										Cai Be, Tien Giang		Vietnam										Cuc PCRT											
PCRT100	Tran Van Dung				Tran Van Dung				Individual				PEP		Cuc PCRT				DOB: 1988										Dong Hoang, Tien Hai, Thai Binh		Vietnam										Cuc PCRT											
PCRT101	Nguyen Van Tan				Nguyen Van Tan				Individual				PEP		Cuc PCRT				DOB: 1954										Ialy, ChuPal, Gia Lai		Vietnam										Cuc PCRT											
PCRT102	Tran Ngoc Phuong Lien				Tran Ngoc Phuong Lien				Individual				PEP		Cuc PCRT				DOB: 1961										Phuong 5, Vinh Long, Vinh Long		Vietnam										Cuc PCRT											
PCRT103	Tran Thi Giang				Tran Thi Giang				Individual				PEP		Cuc PCRT				DOB: 1971										Phung Chi Kien, Bac Kan, Bac Kan		Vietnam										Cuc PCRT											
PCRT104	Hoang The Manh				Hoang The Manh				Individual				PEP		Cuc PCRT				DOB: 1983										Phung Chi Kien, Bac Kan, Bac Kan		Vietnam										Cuc PCRT											
PCRT105	Tran Trong Giang				Tran Trong Giang				Individual				PEP		Cuc PCRT				DOB: 1973										Nhan Hoa, Que Vo, Bac Ninh		Vietnam										Cuc PCRT											
PCRT106	Vu Huy Hai				Vu Huy Hai				Individual				PEP		Cuc PCRT				DOB: 1984										Hong Ha, Ha Long, Quang Ninh		Vietnam										Cuc PCRT											
PCRT107	Tran Hoang Cung				Tran Hoang Cung				Individual				PEP		Cuc PCRT				DOB: 1994										Cu Ebur, Buon Me Thuot, Dak Lak		Vietnam										Cuc PCRT											
PCRT108	Bui Vinh Loi				Bui Vinh Loi				Individual				PEP		Cuc PCRT				DOB: 1992										Cu Ebur, Buon Me Thuot, Dak Lak		Vietnam										Cuc PCRT											
PCRT109	Nguyen Xuan Cuong				Nguyen Xuan Cuong				Individual				PEP		Cuc PCRT				DOB: 1983										Cat Tru, Cam Khe, Phu Tho		Vietnam										Cuc PCRT											
PCRT110	Cai Nam Trung				Cai Nam Trung				Individual				PEP		Cuc PCRT				DOB: 1975										Hai Dinh, Dong Hoi, Quang Binh		Vietnam										Cuc PCRT											
PCRT111	Nguyen Ngoc Lan				Nguyen Ngoc Lan				Individual				PEP		Cuc PCRT				DOB: 1981										Go Dau, Go Dau, Tay Ninh		Vietnam										Cuc PCRT											
PCRT112	Nguyen Thi Yen				Nguyen Thi Yen				Individual				PEP		Cuc PCRT				DOB: 1980										Binh Nguyen, Binh Son, Da Nang		Vietnam										Cuc PCRT											
PCRT113	Pham Thi Van				Pham Thi Van				Individual				PEP		Cuc PCRT				DOB: 1979										Kim No, Dong Anh, Ha Noi		Vietnam										Cuc PCRT											
PCRT114	Nguyen Thanh Duoc				Nguyen Thanh Duoc				Individual				PEP		Cuc PCRT				DOB: 1983										Tam Thuan, Thanh Khe, Da Nang		Vietnam										Cuc PCRT											
PCRT115	Nguyen Quang Phu				Nguyen Quang Phu				Individual				PEP		Cuc PCRT				DOB: 1995										Thuong Phuoc 2, Hong Ngu, Dong Thap		Vietnam										Cuc PCRT											
PCRT116	Dang Quoc Hung				Dang Quoc Hung				Individual				PEP		Cuc PCRT				DOB: 1971										Nghia Ky, Tu Nghia, Quang Ngai		Vietnam										Cuc PCRT											
PCRT117	Tran Van Hien Minh				Tran Van Hien Minh				Individual				PEP		Cuc PCRT				DOB: 1963										Go Dau, Go Dau, Tay Ninh		Vietnam										Cuc PCRT											
PCRT118	Le Thi Sen				Le Thi Sen				Individual				PEP		Cuc PCRT				DOB: 1957										Bien Gioi, Chau Thanh, Tay Ninh		Vietnam										Cuc PCRT											
PCRT119	Tran Khanh Dang				Tran Khanh Dang				Individual				PEP		Cuc PCRT				DOB: 1962										Phuoc Vinh, Chau Thanh, Tay Ninh		Vietnam										Cuc PCRT											
PCRT120	Tran Cam Ngo				Tran Cam Ngo				Individual				PEP		Cuc PCRT				DOB: 1962										Van Mieu, Dong Da, Ha Noi		Vietnam										Cuc PCRT											
PCRT121	Huynh Ke Nhan				Huynh Ke Nhan				Individual				PEP		Cuc PCRT				DOB: 1980										An Hoa, Trang Bang, Tay Ninh		Vietnam										Cuc PCRT											
PCRT122	Nguyen Van Thuan				Nguyen Van Thuan				Individual				PEP		Cuc PCRT				DOB: 1982										Tan Bien, Tay Ninh		Vietnam										Cuc PCRT											
PCRT123	Cao Van Hau				Cao Van Hau				Individual				PEP		Cuc PCRT				DOB: 1982										Ho Dac Kien, My Tu, Soc Trang		Vietnam										Cuc PCRT											
PCRT124	Nguyen Thi Giau				Nguyen Thi Giau				Individual				PEP		Cuc PCRT				DOB: 1961										Tan Binh, Tan Bien, Tay Ninh		Vietnam										Cuc PCRT											
PCRT125	Hoang Thi Van Anh				Hoang Thi Van Anh				Individual				PEP		Cuc PCRT				DOB: 1972										Gia Lam, Ha Noi		Vietnam										Cuc PCRT											
PCRT126	Nguyen Thi Cuc				Nguyen Thi Cuc				Individual				PEP		Cuc PCRT				DOB: 1976										Chu Ty, Duc Co, Gia Lai		Vietnam										Cuc PCRT											
PCRT127	Huynh Van Nghi				Huynh Van Nghi				Individual				PEP		Cuc PCRT				DOB: 1988										Long Hung, Bien Hoa, Dong Nai		Vietnam										Cuc PCRT											
PCRT128	To Anh Nguyet				To Anh Nguyet				Individual				PEP		Cuc PCRT				DOB: 1980										My Phuoc, Ben Cat, Binh Duong		Vietnam										Cuc PCRT											
PCRT129	Ngo Van Long				Ngo Van Long				Individual				PEP		Cuc PCRT				DOB: 1990										Tan Hiep, Kien Giang		Vietnam										Cuc PCRT											
PCRT130	Nguyen Sy Hung				Nguyen Sy Hung				Individual				PEP		Cuc PCRT				DOB: 1994										Phu Loc, Can Loc, Ha Tinh		Vietnam										Cuc PCRT											
PCRT131	Ngan Van Tuan				Ngan Van Tuan				Individual				PEP		Cuc PCRT				DOB: 1989										Na Meo, Quan Son, Thanh Hoa		Vietnam										Cuc PCRT											
PCRT132	Nguyen Manh Long				Nguyen Manh Long				Individual				PEP		Cuc PCRT				DOB: 1965										P13, Q4, Tp. Ho Chi Minh		Vietnam										Cuc PCRT											
PCRT133	Mai Thi Thoa				Mai Thi Thoa				Individual				PEP		Cuc PCRT				DOB: 1962										Phan Sao Nam, Phu Cu, Hung Yen		Vietnam										Cuc PCRT											
PCRT134	Tran Be Ba				Tran Be Ba				Individual				PEP		Cuc PCRT				DOB: 1992										Duong To, Phu Quoc, Kien Giang		Vietnam										Cuc PCRT											
PCRT135	Dam Huu Hung				Dam Huu Hung				Individual				PEP		Cuc PCRT				DOB: 1969										Tan Ninh, Soc Son, Ha Noi		Vietnam										Cuc PCRT											
PCRT136	Tran Huy				Tran Huy				Individual				PEP		Cuc PCRT				DOB: 1984										Cau Tre, Ngo Quyen, Hai Phong		Vietnam										Cuc PCRT											
PCRT137	Dao Phu				Dao Phu				Individual				PEP		Cuc PCRT				DOB: 1971										Nghia Do, Cau Giay, Ha Noi		Vietnam										Cuc PCRT											
PCRT138	Hang Van Hai				Hang Van Hai				Individual				PEP		Cuc PCRT				DOB: 1990										Minh Tien, Dai Tu, Thai Nguyen		Vietnam										Cuc PCRT											
PCRT139	Nguyen Van Cham				Nguyen Van Cham				Individual				PEP		Cuc PCRT				DOB: 1984										Khanh Lam, U Minh, Ca Mau		Vietnam										Cuc PCRT											
PCRT140	Le Thi Kim Anh				Le Thi Kim Anh				Individual				PEP		Cuc PCRT				DOB: 1980										Phu Dong, Gia Lam, Ha Noi		Vietnam										Cuc PCRT											
PCRT141	Huynh Minh Tung				Huynh Minh Tung				Individual				PEP		Cuc PCRT				DOB: 1982										Tang Nhon Phu A, Q9, Tp. Ho Chi Minh		Vietnam										Cuc PCRT											
PCRT142	Tran Van Ngau				Tran Van Ngau				Individual				PEP		Cuc PCRT				DOB: 1991										Cua Can, Phu Quoc, Kien Giang		Vietnam										Cuc PCRT											
PCRT143	Ha Anh Tuan				Ha Anh Tuan				Individual				PEP		Cuc PCRT				DOB: 1955										Cua Nam, Hoan Kiem, Ha Noi		Vietnam										Cuc PCRT											
PCRT144	Nguyen Vinh Quang				Nguyen Vinh Quang				Individual				PEP		Cuc PCRT				DOB: 1981										Phu Thi, Gia Lam, Ha Noi		Vietnam										Cuc PCRT											
PCRT145	Nguyen Thi Phuong Lan				Nguyen Thi Phuong Lan				Individual				PEP		Cuc PCRT				DOB: 1967										Thinh Quang, Dong Da, Ha Noi		Vietnam										Cuc PCRT											
PCRT146	Pham Thi Huong				Pham Thi Huong				Individual				PEP		Cuc PCRT				DOB: 1973										O Cho Dua, Dong Da, Ha Noi		Vietnam										Cuc PCRT											
PCRT147	Nguyen Van Dung				Nguyen Van Dung				Individual				PEP		Cuc PCRT				DOB: 1986										Nam Hong, Dong Anh, Ha Noi		Vietnam										Cuc PCRT											
PCRT148	Pham Trong Hung				Pham Trong Hung				Individual				PEP		Cuc PCRT				DOB: 1987										Nam Hong, Dong Anh, Ha Noi		Vietnam										Cuc PCRT											
PCRT149	Hoang Thi Phuong Thao				Hoang Thi Phuong Thao				Individual				PEP		Cuc PCRT				DOB: 1988										Trung Mau, Gia Lam, Ha Noi		Vietnam										Cuc PCRT											
PCRT150	Dao Thanh Tung				Dao Thanh Tung				Individual				PEP		Cuc PCRT				DOB: 1971										Yen Vien, Gia Lam, Ha Noi		Vietnam										Cuc PCRT											
PCRT151	Nguyen Duc Thuan				Nguyen Duc Thuan				Individual				PEP		Cuc PCRT				DOB: 1981										Yen Vien, Gia Lam, Ha Noi		Vietnam										Cuc PCRT											
PCRT152	Trinh Hoang Lan				Trinh Hoang Lan				Individual				PEP		Cuc PCRT				DOB: 1979										Co Bi, Gia Lam, Ha Noi		Vietnam										Cuc PCRT											
PCRT153	Nguyen Duc Hien				Nguyen Duc Hien				Individual				PEP		Cuc PCRT				DOB: 1974										Co Bi, Gia Lam, Ha Noi		Vietnam										Cuc PCRT											
PCRT154	Pham Van Thuy				Pham Van Thuy				Individual				PEP		Cuc PCRT				DOB: 1972										Thach Ban, Long Bien, Ha Noi		Vietnam										Cuc PCRT											
PCRT155	Nguyen Thi Thu Trang				Nguyen Thi Thu Trang				Individual				PEP		Cuc PCRT				DOB: 1981										Yen Vien, Gia Lam, Ha Noi		Vietnam										Cuc PCRT											
PCRT156	Nguyen Bich Hong				Nguyen Bich Hong				Individual				PEP		Cuc PCRT				DOB: 1966										Hang Bo, Hoan Kiem, Ha Noi		Vietnam										Cuc PCRT											
